BillDate,BillNo,accode,Amount,name,crdays,AvgBal,NetTrans,NetAmount,duedate,overduedays,DueStatus,OverDueAgeing,o/sdays,O/sAgeing
2020-05-06,200281  ,CR00265,-9813.55,CR DIE STAMPED PRODUCTS INC                                 ,30,-8853.359999999997,-1920.3799999999974,1920.3799999999974,2020-06-05,208.0,Overdue,More than 120 days,238.0,More than 120 days
2020-11-20,200591  ,CR00270,-74241.03,CR Sumit Global                                             ,60,-122710.18999999996,96938.32000000007,96938.32000000007,2021-01-19,-20.0,Not Overdue,,40.0,30 to 60 days
2020-12-16,210001  ,CR00272,-34869.72,CR Win Supply Of Houston                                    ,30,-64115.264999999985,58491.090000000026,58491.090000000026,2021-01-15,-16.0,Not Overdue,,14.0,0 to 30 days
2020-09-25,200544  ,CR00280,-6696.7,CR PERFORMANCE PACKAGING                                    ,30,-3393.224999999995,-6606.94999999999,6606.94999999999,2020-10-25,66.0,Overdue,60 to 90 days,96.0,More than 120 days
2020-01-01,opening,CR00289,-1331.5,CR INSCO DISTRIBUTING INC                                   ,30,-665.75,-1331.5,1331.5,2020-01-31,334.0,Overdue,More than 120 days,364.0,More than 120 days
2020-01-01,opening,CR00322,-247.0,CR Midwest Metal Products                                   ,0,-123.5,-247.0,247.0,2020-01-01,364.0,Overdue,More than 120 days,364.0,More than 120 days
2020-01-01,opening,CR00330,-20910.0,CR Crescent Integrated Techsourcing                         ,0,-34506.8,27193.59999999999,27193.59999999999,2020-01-01,364.0,Overdue,More than 120 days,364.0,More than 120 days
2020-11-13,200604  ,CR00343,-23747.44,CR COMMERCIAL STEEL PRODUCT                                 ,45,-20731.509999999857,-6031.859999999753,6031.859999999753,2020-12-28,2.0,Overdue,0 to 30 days,47.0,30 to 60 days
2020-01-01,opening,CR00384,-6000.0,CR COFACE NORTH AMERICA INSURANCE COMPANY                   ,0,-3000.0,-6000.0,6000.0,2020-01-01,364.0,Overdue,More than 120 days,364.0,More than 120 days
2020-01-01,opening,CR00397,-543.74,CR United Site Services                                     ,0,-271.87000000000035,-543.7400000000007,543.7400000000007,2020-01-01,364.0,Overdue,More than 120 days,364.0,More than 120 days
2020-01-01,opening,CR00412,-473.37,CR Doggett Equipment Service Group                          ,0,-236.68499999999995,-473.3699999999999,473.3699999999999,2020-01-01,364.0,Overdue,More than 120 days,364.0,More than 120 days
2020-01-01,opening,CR00441,-325.0,"CR S.A.V. 88 LOGISTICS,LLC                                  ",0,-162.5,-325.0,325.0,2020-01-01,364.0,Overdue,More than 120 days,364.0,More than 120 days
2020-01-01,opening,CR00447,-53749.0,CR Texas Mutual Insurance Company                           ,0,-26874.500000000004,-53749.00000000001,53749.00000000001,2020-01-01,364.0,Overdue,More than 120 days,364.0,More than 120 days
2020-01-01,opening,CR00455,-691.64,Cr Haltom Industries                                        ,0,-345.82,-691.64,691.64,2020-01-01,364.0,Overdue,More than 120 days,364.0,More than 120 days
2020-01-01,opening,CR00458,-393.65,CR Ryder Transport Services                                 ,0,-196.82500000000002,-393.65000000000003,393.65000000000003,2020-01-01,364.0,Overdue,More than 120 days,364.0,More than 120 days
2020-01-01,opening,CR00459,-6116.13,CR Maintenance Repair Service                               ,0,-3058.065,-6116.13,6116.13,2020-01-01,364.0,Overdue,More than 120 days,364.0,More than 120 days
2020-01-01,opening,CR00460,-300.0,CR Wong Fleming P.C                                         ,0,-150.0,-300.0,300.0,2020-01-01,364.0,Overdue,More than 120 days,364.0,More than 120 days
2020-01-01,opening,CR00461,-148.22,CR City Of Houston - ARA Burglar Alarm                      ,0,-74.11,-148.22,148.22,2020-01-01,364.0,Overdue,More than 120 days,364.0,More than 120 days
2020-01-01,opening,CR00463,-1130.08,CR Industrial Fire Equipment                                ,0,-565.04,-1130.08,1130.08,2020-01-01,364.0,Overdue,More than 120 days,364.0,More than 120 days
